cerveja;cervejaria;estilo;abv;ibu;ratings;media;descricao_estilo;descricao_cerveja;figura 
Lawless - Pre Prohibition Lager;Mafiosa Cervejaria;American Lager/Pilsner;5.5;36;175;3.67;As cervejas do estilo American Lager tem a cor amarelo pálido a amarelo médio, sendo compostas por uma espuma branca muito límpida. No aroma, há a presença de baixo a nenhum de malte, que quando presente pode ser percebido como granulado, doce ou milho. O aroma do lúpulo é de muito leve a nenhum, contando com a presença condimentado ou floral.;Uma versão do estilo German Pils, produzida pelos imigrantes alemães nos EUA, um pouco antes da Prohibition. Uma lager clara e refrescante, com amargor bem presente de lupulo balanceado a doçura dos grãos. Crisp, e aromática (Floral) com os lúpulos americanos descendentes de Hallertau.;lager_lawless.jpeg
Hop Lager Bergg;Berggren Bier;American Lager/Pilsner;5.6;40;360;3.62;As cervejas do estilo American Lager tem a cor amarelo pálido a amarelo médio, sendo compostas por uma espuma branca muito límpida. No aroma, há a presença de baixo a nenhum de malte, que quando presente pode ser percebido como granulado, doce ou milho. O aroma do lúpulo é de muito leve a nenhum, contando com a presença condimentado ou floral.;Cerveja de coloração dourada, com espuma clara e persistente. Uma incrível combinação da refrescância presente na Lager e os inigualáveis aromas florais, cítricos e herbais das IPAs. Com corpo médio baixo, médio teor alcoólico e alta drinkability, uma cerveja para qualquer momento com um toque a mais de sabor e aroma.;lager_bergg.jpeg
Cool Lager;Three Monkeys Beer;American Lager/Pilsner;5;14;1884;3.6;As cervejas do estilo American Lager tem a cor amarelo pálido a amarelo médio, sendo compostas por uma espuma branca muito límpida. No aroma, há a presença de baixo a nenhum de malte, que quando presente pode ser percebido como granulado, doce ou milho. O aroma do lúpulo é de muito leve a nenhum, contando com a presença condimentado ou floral.;"Assim deve ser uma Lager! Linda, livre, leve e solta.
E com um objetivo: ser uma cerveja pra momentos mais leves do seu dia, da sua semana, da sua vida. Mas vamos lá, pode ser suave mas nunca sem personalidade. Lúpulos tradicionais dão lugar à modernidade. Origem tcheca, mas com um toque de inovação. Dry Hopping sutil. Isso é cool! Por isso a Three Monkeys Cool Lager tem uma simplicidade paradoxal. Alta drinkability contrastando com carga de lúpulo na medida certa. De origem Neozelandesa, o Motueka é um lúpulo versátil perfeito pra dar equilíbrio, trazendo também tons vivos de limão, lima e notas de frutas tropicais. Isso sim é refrescância. Be cool, babe!";lager_cool.jpeg
Unicorn Premium Lager;Startup Brewing;American Lager / Pilsner;5;10;864;3.57;As cervejas do estilo American Lager tem a cor amarelo pálido a amarelo médio, sendo compostas por uma espuma branca muito límpida. No aroma, há a presença de baixo a nenhum de malte, que quando presente pode ser percebido como granulado, doce ou milho. O aroma do lúpulo é de muito leve a nenhum, contando com a presença condimentado ou floral.;A Unicorn Premium Lager é uma cerveja clara, leve e fácil de beber. As notas de malte são suaves e o uso de lúpulos de origem alemã e americana agregam complexidade de aromas e sabores com suas características florais e frutadas.;lager_unicornio.jpeg
Lager;Cerveja Orchid;American Lager / Pilsner;5.2;0;506;3.49;As cervejas do estilo American Lager tem a cor amarelo pálido a amarelo médio, sendo compostas por uma espuma branca muito límpida. No aroma, há a presença de baixo a nenhum de malte, que quando presente pode ser percebido como granulado, doce ou milho. O aroma do lúpulo é de muito leve a nenhum, contando com a presença condimentado ou floral.;A Orchid Lager é uma cerveja do estilo alemão Munich Helles, trazendo uma bonita coloração dourada clara, com aparência cristalina. No aroma e sabor apresenta notas maltadas que lembram biscoito. No paladar é suave, com leve amargor e perfeito equilibrio. É uma cerveja refrescante e fácil de beber.;lager_orchid.jpeg
Pils!;Trilha Cervejaria;American Lager / Pilsner;5.7;0;787;3.87;Também chamado de Pilsner, o estilo surgiu na cidade de Pilsen, região da Bohemia, na Republica Tcheca, com a criação da cerveja Pilsner Urquell. As cervejas Pilsen são caracterizadas por um lúpulo acentuado no aroma e sabor, geralmente da variedade Saaz, e por sua cor dourada brilhante. Podem aparecer em dois estilos de cerveja diferentes: Bohemian Pilsner, representada, por exemplo, pelas thecas Pilsner Urquell e Czechvar e German Pilsner, com a Bitburger, warsteiner e  Konig Oilsener.;Versão moderna de uma Pilsen fresca e não pasteurizada. Aquela cerveja para todos os momentos e que não pode faltar na sua geladeira.;pilsner_pils.jpeg
Cerca Viva Dry-Hopped Pilsner;Cervejaria Tabuas;American Lager / Pilsner;5.7;0;281;3.86;Também chamado de Pilsner, o estilo surgiu na cidade de Pilsen, região da Bohemia, na Republica Tcheca, com a criação da cerveja Pilsner Urquell. As cervejas Pilsen são caracterizadas por um lúpulo acentuado no aroma e sabor, geralmente da variedade Saaz, e por sua cor dourada brilhante. Podem aparecer em dois estilos de cerveja diferentes: Bohemian Pilsner, representada, por exemplo, pelas thecas Pilsner Urquell e Czechvar e German Pilsner, com a Bitburger, warsteiner e  Konig Oilsener.;A Cerca Viva é uma Dry Hopped Pilsner com Mosaic e Huell Melon. Refrescante, crispy e frutada na medida certa.;pilsner_cerca_viva.jpeg
EVERPILS;Cervejaria Everbrew;American Lager / Pilsner;4.9;0;301;3.82;Também chamado de Pilsner, o estilo surgiu na cidade de Pilsen, região da Bohemia, na Republica Tcheca, com a criação da cerveja Pilsner Urquell. As cervejas Pilsen são caracterizadas por um lúpulo acentuado no aroma e sabor, geralmente da variedade Saaz, e por sua cor dourada brilhante. Podem aparecer em dois estilos de cerveja diferentes: Bohemian Pilsner, representada, por exemplo, pelas thecas Pilsner Urquell e Czechvar e German Pilsner, com a Bitburger, warsteiner e  Konig Oilsener.;Everpils é uma releitura da clássica Bohemian Pilsner com lúpulos nobres da Alemanha e um toque da escola americana. Uma cerveja com traços florais, herbais e levemente cítrica, com aroma de lupulo presente.;pilsner_everpils.jpeg
Avós do Brasil - Maria;Avós Cerveja Artesanal;American Lager / Pilsner;4.9;15;519;3.76;Também chamado de Pilsner, o estilo surgiu na cidade de Pilsen, região da Bohemia, na Republica Tcheca, com a criação da cerveja Pilsner Urquell. As cervejas Pilsen são caracterizadas por um lúpulo acentuado no aroma e sabor, geralmente da variedade Saaz, e por sua cor dourada brilhante. Podem aparecer em dois estilos de cerveja diferentes: Bohemian Pilsner, representada, por exemplo, pelas thecas Pilsner Urquell e Czechvar e German Pilsner, com a Bitburger, warsteiner e  Konig Oilsener.;Vó Maria Hoppy Pils: Esta avós é  aromática, amargor limpo e na medida, nada que seja um exagero, afinal nossas avós todas tem bebabilidade (ou drinkability pra quem gosta de forçar o sotaque). Refrescante e douradinha, tem um que cítrico e frutado. Pros cervejeiros mais nerds, isso significa 4,9% ABV e 15 IBU, sem deixar de ser Lager.;pilsner_avos_do_brasil.jpeg
Rest in Pilz;Cervejaria Dogma;American Lager / Pilsner;5.3;0;860;3.81;Também chamado de Pilsner, o estilo surgiu na cidade de Pilsen, região da Bohemia, na Republica Tcheca, com a criação da cerveja Pilsner Urquell. As cervejas Pilsen são caracterizadas por um lúpulo acentuado no aroma e sabor, geralmente da variedade Saaz, e por sua cor dourada brilhante. Podem aparecer em dois estilos de cerveja diferentes: Bohemian Pilsner, representada, por exemplo, pelas thecas Pilsner Urquell e Czechvar e German Pilsner, com a Bitburger, warsteiner e  Konig Oilsener.;A Dogma Rest in Pilz é uma Bohemian Pilsner leve, equilibrada e refrescante, em sua composição traz o lúpulo tcheco Saaz, original do estilo. No aroma notas de pão, biscoito e leve amêndoas.;pilsner_rest_in_pilz.jpeg
